R_Priority,Weights,Data weightage %,Severity of defects,Complexity,Time,Cost,Number of defects linked,Test_Case,Sprint,Execution Status
S,2,35,2,3,1,21,15,T-mis-016, Sprint 3,F
S,2,35,2,5,4.5,157.5,25,T-mis-017,Sprint 1,P
S,2,35,2,5,4.5,157.5,25,T-mis-017, Sprint 2,F
S,2,35,2,5,4.5,157.5,25,T-mis-017, Sprint 3,F
S,2,35,2,5,4.5,157.5,25,T-mis-018,Sprint 1,P
S,2,35,2,5,4.5,157.5,25,T-mis-018, Sprint 2,F
S,2,35,2,5,4.5,157.5,25,T-mis-018, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-019,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-019, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-019, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-020,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-020, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-020, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-021,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-021, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-021, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-022,Sprint 1,P
S,2,35,2,1,5,35,5,T-mis-022, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-022, Sprint 3,F
S,2,35,1,3,4,84,15,T-mis-023,Sprint 1,F
S,2,35,1,3,4,84,15,T-mis-023, Sprint 2,F
S,2,35,1,3,4,84,15,T-mis-023, Sprint 3,F
S,2,35,1,3,4,84,15,T-mis-024,Sprint 1,F
S,2,35,1,3,4,84,15,T-mis-024, Sprint 2,F
S,2,35,1,3,4,84,15,T-mis-024, Sprint 3,F
S,2,35,1,3,4,84,15,T-mis-025,Sprint 1,F
S,2,35,1,3,4,84,15,T-mis-025, Sprint 2,F
S,2,35,1,3,4,84,15,T-mis-025, Sprint 3,F
S,2,35,3,5,2.5,87.5,25,T-mis-026,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-026, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-026, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-027,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-027, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-027, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-028,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-028, Sprint 2,P
S,2,35,2,1,2.5,17.5,5,T-mis-028, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-029,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-029, Sprint 2,P
S,2,35,2,1,2.5,17.5,5,T-mis-029, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-030,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-030, Sprint 2,P
S,2,35,2,1,2.5,17.5,5,T-mis-030, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-031,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-031, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-031, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-032,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-032, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-032, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-033,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-033, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-033, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-034,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-034, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-034, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-035,Sprint 1,P
S,2,35,2,1,4,28,5,T-mis-035, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-035, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-036,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-036, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-036, Sprint 3,P
S,2,35,2,1,5,35,5,T-mis-037,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-037, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-037, Sprint 3,P
S,2,35,3,5,1,35,25,T-mis-038,Sprint 1,P
S,2,35,3,5,1,35,25,T-mis-038, Sprint 2,P
S,2,35,3,5,1,35,25,T-mis-038, Sprint 3,F
S,2,35,1,5,1,35,25,T-mis-039,Sprint 1,F
S,2,35,1,5,1,35,25,T-mis-039, Sprint 2,F
S,2,35,1,5,1,35,25,T-mis-039, Sprint 3,F
S,2,35,2,3,4,84,15,T-mis-040,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-040, Sprint 2,P
S,2,35,2,3,4,84,15,T-mis-040, Sprint 3,F
S,2,35,2,3,4,84,15,T-mis-041,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-041, Sprint 2,P
S,2,35,2,3,4,84,15,T-mis-041, Sprint 3,F
S,2,35,2,3,4,84,15,T-mis-042,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-042, Sprint 2,P
S,2,35,2,3,4,84,15,T-mis-042, Sprint 3,F
S,2,35,3,5,5,175,25,T-mis-043,Sprint 1,P
S,2,35,3,5,5,175,25,T-mis-043, Sprint 2,P
S,2,35,3,5,5,175,25,T-mis-043, Sprint 3,F
S,2,35,3,5,5,175,25,T-mis-044,Sprint 1,P
S,2,35,3,5,5,175,25,T-mis-044, Sprint 2,P
S,2,35,3,5,5,175,25,T-mis-044, Sprint 3,F
S,2,35,3,5,5,175,25,T-mis-045,Sprint 1,P
S,2,35,3,5,5,175,25,T-mis-045, Sprint 2,P
S,2,35,3,5,5,175,25,T-mis-045, Sprint 3,F
S,2,35,3,5,5,175,25,T-mis-046,Sprint 1,P
S,2,35,3,5,5,175,25,T-mis-046, Sprint 2,P
S,2,35,3,5,5,175,25,T-mis-046, Sprint 3,F
S,2,35,2,3,4,84,15,T-mis-047,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-047, Sprint 2,F
S,2,35,2,3,4,84,15,T-mis-047, Sprint 3,P
S,2,35,2,3,4,84,15,T-mis-048,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-048, Sprint 2,F
S,2,35,2,3,4,84,15,T-mis-048, Sprint 3,P
S,2,35,2,3,4,84,15,T-mis-049,Sprint 1,F
S,2,35,2,3,4,84,15,T-mis-049, Sprint 2,F
S,2,35,2,3,4,84,15,T-mis-049, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-050,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-050, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-050, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-051,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-051, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-051, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-052,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-052, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-052, Sprint 3,P
S,2,35,2,5,5,175,25,T-mis-053,Sprint 1,F
S,2,35,2,5,5,175,25,T-mis-053, Sprint 2,F
S,2,35,2,5,5,175,25,T-mis-053, Sprint 3,P
S,2,35,3,3,1,21,15,T-mis-054,Sprint 1,P
S,2,35,3,3,1,21,15,T-mis-054, Sprint 2,P
S,2,35,3,3,1,21,15,T-mis-054, Sprint 3,F
S,2,35,3,3,4,84,15,T-mis-055,Sprint 1,P
S,2,35,3,3,4,84,15,T-mis-055, Sprint 2,F
S,2,35,3,3,4,84,15,T-mis-055, Sprint 3,P
S,2,35,3,3,4,84,15,T-mis-056,Sprint 1,P
S,2,35,3,3,4,84,15,T-mis-056, Sprint 2,F
S,2,35,3,3,4,84,15,T-mis-056, Sprint 3,P
S,2,35,3,3,4,84,15,T-mis-057,Sprint 1,P
S,2,35,3,3,4,84,15,T-mis-057, Sprint 2,F
S,2,35,3,3,4,84,15,T-mis-057, Sprint 3,P
S,2,35,1,3,5,105,15,T-mis-058,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-058, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-058, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-059,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-059, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-059, Sprint 3,F
S,2,35,1,3,5,105,15,T-mis-060,Sprint 1,F
S,2,35,1,3,5,105,15,T-mis-060, Sprint 2,F
S,2,35,1,3,5,105,15,T-mis-060, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-061,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-061, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-061, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-062,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-062, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-062, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-063,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-063, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-063, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-064,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-064, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-064, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-065,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-065, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-065, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-066,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-066, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-066, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-067,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-067, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-067, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-068,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-068, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-068, Sprint 3,P
S,2,35,2,1,5,35,5,T-mis-069,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-069, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-069, Sprint 3,P
S,2,35,2,1,5,35,5,T-mis-070,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-070, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-070, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-071,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-071, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-071, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-072,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-072, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-072, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-073,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-073, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-073, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-074,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-074, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-074, Sprint 3,P
S,2,35,2,1,1,7,5,T-mis-075,Sprint 1,F
S,2,35,2,1,1,7,5,T-mis-075, Sprint 2,F
S,2,35,2,1,1,7,5,T-mis-075, Sprint 3,P
S,2,35,1,3,2,42,15,T-mis-076,Sprint 1,F
S,2,35,1,3,2,42,15,T-mis-076, Sprint 2,F
S,2,35,1,3,2,42,15,T-mis-076, Sprint 3,F
S,2,35,1,3,2,42,15,T-mis-077,Sprint 1,F
S,2,35,1,3,2,42,15,T-mis-077, Sprint 2,F
S,2,35,1,3,2,42,15,T-mis-077, Sprint 3,F
S,2,35,2,5,2.5,87.5,25,T-mis-078,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-078, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-078, Sprint 3,P
S,2,35,2,5,2.5,87.5,25,T-mis-079,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-079, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-079, Sprint 3,P
S,2,35,2,5,2.5,87.5,25,T-mis-080,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-080, Sprint 2,F
S,2,35,2,5,2.5,87.5,25,T-mis-080, Sprint 3,P
S,2,35,3,5,2.5,87.5,25,T-mis-081,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-081, Sprint 2,F
S,2,35,3,5,2.5,87.5,25,T-mis-081, Sprint 3,P
S,2,35,1,1,4,28,5,T-mis-082,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-082, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-082, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-083,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-083, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-083, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-084,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-084, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-084, Sprint 3,F
S,2,35,3,5,2.5,87.5,25,T-mis-085,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-085, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-085, Sprint 3,F
S,2,35,3,5,2.5,87.5,25,T-mis-086,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-086, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-086, Sprint 3,F
S,2,35,3,5,2.5,87.5,25,T-mis-087,Sprint 1,P
S,2,35,3,5,2.5,87.5,25,T-mis-087, Sprint 2,P
S,2,35,3,5,2.5,87.5,25,T-mis-087, Sprint 3,F
S,2,35,2,3,1.5,31.5,15,T-mis-088,Sprint 1,P
S,2,35,2,3,1.5,31.5,15,T-mis-088, Sprint 2,F
S,2,35,2,3,1.5,31.5,15,T-mis-088, Sprint 3,F
S,2,35,2,1,5,35,5,T-mis-089,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-089, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-089, Sprint 3,P
S,2,35,2,1,5,35,5,T-mis-090,Sprint 1,F
S,2,35,2,1,5,35,5,T-mis-090, Sprint 2,F
S,2,35,2,1,5,35,5,T-mis-090, Sprint 3,P
S,2,35,3,1,2,14,5,T-mis-091,Sprint 1,F
S,2,35,3,1,2,14,5,T-mis-091, Sprint 2,P
S,2,35,3,1,2,14,5,T-mis-091, Sprint 3,P
S,2,35,1,1,5,35,5,T-mis-092,Sprint 1,F
S,2,35,1,1,5,35,5,T-mis-092, Sprint 2,F
S,2,35,1,1,5,35,5,T-mis-092, Sprint 3,F
S,2,35,1,1,5,35,5,T-mis-093,Sprint 1,F
S,2,35,1,1,5,35,5,T-mis-093, Sprint 2,F
S,2,35,1,1,5,35,5,T-mis-093, Sprint 3,F
S,2,35,2,1,2.5,17.5,5,T-mis-094,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-094, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-094, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-095,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-095, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-095, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-096,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-096, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-096, Sprint 3,P
S,2,35,2,1,2.5,17.5,5,T-mis-097,Sprint 1,F
S,2,35,2,1,2.5,17.5,5,T-mis-097, Sprint 2,F
S,2,35,2,1,2.5,17.5,5,T-mis-097, Sprint 3,P
S,2,35,1,5,4,140,25,T-mis-098,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-098, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-098, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-099,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-099, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-099, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-100,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-100, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-100, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-101,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-101, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-101, Sprint 3,F
S,2,35,3,1,4,28,5,T-mis-102,Sprint 1,P
S,2,35,3,1,4,28,5,T-mis-102, Sprint 2,F
S,2,35,3,1,4,28,5,T-mis-102, Sprint 3,P
S,2,35,3,1,4,28,5,T-mis-103,Sprint 1,P
S,2,35,3,1,4,28,5,T-mis-103, Sprint 2,F
S,2,35,3,1,4,28,5,T-mis-103, Sprint 3,P
S,2,35,2,1,1,7,5,T-mis-104,Sprint 1,F
S,2,35,2,1,1,7,5,T-mis-104, Sprint 2,F
S,2,35,2,1,1,7,5,T-mis-104, Sprint 3,P
S,2,35,1,1,4,28,5,T-mis-105,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-105, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-105, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-106,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-106, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-106, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-107,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-107, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-107, Sprint 3,F
S,2,35,1,1,4,28,5,T-mis-108,Sprint 1,F
S,2,35,1,1,4,28,5,T-mis-108, Sprint 2,F
S,2,35,1,1,4,28,5,T-mis-108, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-109,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-109, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-109, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-110,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-110, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-110, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-111,Sprint 1,P
S,2,35,2,5,4,140,25,T-mis-111, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-111, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-112,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-112, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-112, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-113,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-113, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-113, Sprint 3,F
S,2,35,1,5,4,140,25,T-mis-114,Sprint 1,F
S,2,35,1,5,4,140,25,T-mis-114, Sprint 2,F
S,2,35,1,5,4,140,25,T-mis-114, Sprint 3,F
S,2,35,3,1,2,14,5,T-mis-115,Sprint 1,P
S,2,35,3,1,2,14,5,T-mis-115, Sprint 2,P
S,2,35,3,1,2,14,5,T-mis-115, Sprint 3,F
S,2,35,3,1,2,14,5,T-mis-116,Sprint 1,P
S,2,35,3,1,2,14,5,T-mis-116, Sprint 2,P
S,2,35,3,1,2,14,5,T-mis-116, Sprint 3,F
S,2,35,2,1,4,28,5,T-mis-117,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-117, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-117, Sprint 3,P
S,2,35,2,1,4,28,5,T-mis-118,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-118, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-118, Sprint 3,P
S,2,35,2,1,4,28,5,T-mis-119,Sprint 1,F
S,2,35,2,1,4,28,5,T-mis-119, Sprint 2,F
S,2,35,2,1,4,28,5,T-mis-119, Sprint 3,P
S,2,35,3,5,5,175,25,T-mis-120,Sprint 1,P
S,2,35,3,5,5,175,25,T-mis-120, Sprint 2,P
S,2,35,3,5,5,175,25,T-mis-120, Sprint 3,F
S,2,35,3,5,5,175,25,T-mis-121,Sprint 1,P
S,2,35,3,5,5,175,25,T-mis-121, Sprint 2,P
S,2,35,3,5,5,175,25,T-mis-121, Sprint 3,F
S,2,35,2,5,2.5,87.5,25,T-mis-122,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-122, Sprint 2,P
S,2,35,2,5,2.5,87.5,25,T-mis-122, Sprint 3,F
S,2,35,2,5,2.5,87.5,25,T-mis-123,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-123, Sprint 2,P
S,2,35,2,5,2.5,87.5,25,T-mis-123, Sprint 3,F
S,2,35,2,5,2.5,87.5,25,T-mis-124,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-124, Sprint 2,P
S,2,35,2,5,2.5,87.5,25,T-mis-124, Sprint 3,F
S,2,35,2,5,2.5,87.5,25,T-mis-125,Sprint 1,F
S,2,35,2,5,2.5,87.5,25,T-mis-125, Sprint 2,P
S,2,35,2,5,2.5,87.5,25,T-mis-125, Sprint 3,F
S,2,35,2,5,4,140,25,T-mis-126,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-126, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-126, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-127,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-127, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-127, Sprint 3,P
S,2,35,2,5,4,140,25,T-mis-128,Sprint 1,F
S,2,35,2,5,4,140,25,T-mis-128, Sprint 2,F
S,2,35,2,5,4,140,25,T-mis-128, Sprint 3,P
S,2,35,1,5,5,175,25,T-mis-129,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-129, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-129, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-130,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-130, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-130, Sprint 3,F
S,2,35,1,5,5,175,25,T-mis-131,Sprint 1,F
S,2,35,1,5,5,175,25,T-mis-131, Sprint 2,F
S,2,35,1,5,5,175,25,T-mis-131, Sprint 3,F
S,2,35,1,1,2,14,5,T-mis-132,Sprint 1,F
S,2,35,1,1,2,14,5,T-mis-132, Sprint 2,F
S,2,35,1,1,2,14,5,T-mis-132, Sprint 3,F
S,2,35,2,3,1,21,15,T-mis-133,Sprint 1,F
S,2,35,2,3,1,21,15,T-mis-133, Sprint 2,F
S,2,35,2,3,1,21,15,T-mis-133, Sprint 3,P
S,2,35,3,1,2.5,17.5,5,T-mis-134,Sprint 1,F
S,2,35,3,1,2.5,17.5,5,T-mis-134, Sprint 2,P
S,2,35,3,1,2.5,17.5,5,T-mis-134, Sprint 3,P
S,2,35,3,1,2.5,17.5,5,T-mis-135,Sprint 1,F
S,2,35,3,1,2.5,17.5,5,T-mis-135, Sprint 2,P
S,2,35,3,1,2.5,17.5,5,T-mis-135, Sprint 3,P
S,2,35,3,1,2.5,17.5,5,T-mis-136,Sprint 1,F
S,2,35,3,1,2.5,17.5,5,T-mis-136, Sprint 2,P
S,2,35,3,1,2.5,17.5,5,T-mis-136, Sprint 3,P
S,2,35,3,5,4,140,25,T-mis-137,Sprint 1,P
S,2,35,3,5,4,140,25,T-mis-137, Sprint 2,P
S,2,35,3,5,4,140,25,T-mis-137, Sprint 3,F
S,2,35,3,5,4,140,25,T-mis-138,Sprint 1,P
S,2,35,3,5,4,140,25,T-mis-138, Sprint 2,P
S,2,35,3,5,4,140,25,T-mis-138, Sprint 3,F
S,2,35,3,5,4,140,25,T-mis-139,Sprint 1,P
S,2,35,3,5,4,140,25,T-mis-139, Sprint 2,P
S,2,35,3,5,4,140,25,T-mis-139, Sprint 3,F
S,2,35,3,5,3,105,25,T-mis-140,Sprint 1,P
S,2,35,3,5,3,105,25,T-mis-140, Sprint 2,P
S,2,35,3,5,3,105,25,T-mis-140, Sprint 3,F
